dimension,algorithm,function,min,max,mean,std,median,1_quart,3_quart
15,FDADBs,Lunacek_bi_rastrigin,557.4734919818898,1765.594343112476,1558.2918153334347,76.0044658575119,1518.354178647518,1516.8262388582202,1574.477605172336
15,FDAC,Lunacek_bi_rastrigin,557.4734919818898,1689.2643200256853,1241.5099151206346,86.93428522711012,1202.1274942801351,1199.684762123592,1222.342450004419
15,FDAD,Lunacek_bi_rastrigin,557.4734919818898,1765.594343112476,1558.2918153334347,76.0044658575119,1518.354178647518,1516.8262388582202,1574.477605172336
15,SOOBs,Lunacek_bi_rastrigin,92.68987308113367,1203.88990331973,93.15360622723882,15.287417198208825,92.68987308113367,92.68987308113367,92.68987308113367
20,FDA,Lunacek_bi_rastrigin,591.5872144380819,2093.984357339207,869.4445102244548,295.4025653672724,729.3855500484028,723.8766726415561,818.3932340677575
20,DIRECT,Lunacek_bi_rastrigin,77.67042260011226,3258.024758481191,1196.4393364724324,356.65039542192744,1143.23244186196,950.1510118520468,1410.2209053888191
20,DIRECTL,Lunacek_bi_rastrigin,87.85533894096397,2432.867036719582,1244.423734858232,407.7350277289078,1277.5020597517819,981.5625582789949,1506.0966637776119
20,DIRECTR,Lunacek_bi_rastrigin,85.81695407424593,2513.411285958084,234.28295447446655,300.1138106748765,85.84164165943503,85.81698628424118,206.3744525978367
20,SOO,Lunacek_bi_rastrigin,61.84413744717983,2092.817951914952,232.58044475526913,281.37386210653733,96.76021532118335,80.18739574520703,237.95549585688067
20,DIRECTBs,Lunacek_bi_rastrigin,87.82209882859922,1493.6924556443432,90.12114042642679,33.650080454095736,87.82209882860195,87.82209882860195,87.82209882860195
20,FDABs,Lunacek_bi_rastrigin,591.5872144380819,2093.984357339207,869.4445102244548,295.4025653672724,729.3855500484028,723.8766726415561,818.3932340677575
20,FDADBs,Lunacek_bi_rastrigin,591.5872144380819,2154.645304609354,1859.7590497943968,93.37409832983555,1839.2376631821649,1785.8861039011458,1902.341322346384
20,FDAC,Lunacek_bi_rastrigin,591.5872144380819,2093.984357339207,869.4445102244548,295.4025653672724,729.3855500484028,723.8766726415561,818.3932340677575
20,FDAD,Lunacek_bi_rastrigin,591.5872144380819,2154.645304609354,1859.7590497943968,93.37409832983555,1839.2376631821649,1785.8861039011458,1902.341322346384
20,SOOBs,Lunacek_bi_rastrigin,184.39583817399307,1292.0173425488076,184.93220043993296,15.673277451133911,184.3958381739949,184.39583817399375,184.39583817399784
